symbol
^KLSE
3816.KL
5285.KL
5347.KL
1082.KL
4707.KL
5225.KL
1066.KL
7277.KL
4197.KL
1295.KL
3034.KL
5819.KL
5296.KL
1155.KL
6947.KL
5681.KL
1961.KL
1023.KL
5168.KL
6888.KL
8869.KL
4715.KL
4863.KL
6033.KL
5183.KL
3182.KL
2445.KL
4065.KL
6012.KL
7113.KL
